Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
3,4,transit,过境,the transit lounge at an airport,机场的中转候机楼
3,4,transfer,转机,There is no direct flight from here to Hawaii.You'll need to transfer in Shanghai,从这里没有直接飞往夏威夷的飞机，你必须在上海转机
3,4,stopover,中途停留,It's not a non-stop flight. We will make one layover in Sydney,这不是一家中途不过境其他地方的直达航班。我们会在悉尼中途停留
3,4,touch down,着陆,The plane is scheduled to touch down at 7:50 AM,飞机预定在早上7点50着陆
3,4,taxi,滑行，出租车,The plane is still taxiing on the runway.Please don't turnon your cell phone,飞机还在跑道上滑行，请不要打开手机
3,4,disembark,下（车、船、飞机）,Passengers are well-advised to disembark in an orderly fashion,乘客最好遵守秩序依次下飞机
3,4,arrive,到达,"When Janice arrived in Boston,she was already exhausted",当贾尼斯抵达波士顿时，他已经累坏了
3,4,procedure,步骤,What is the standard procedure if I have something to declare,如果我有某样东西要申报，标准流程是什么
3,4,immigration,移民监察局,go through immigration,通过移民检查
3,4,purpose,目的,What is thr purpose of your visit?,你出行的目的是什么
3,4,sightseeing,观光,go sightseeing,去观光
3,4,baggage,领取行李,the baggage claim area,行李领取处
3,4,luggage claim tag,行李领取标签,Please present your luggage claim tag,请出示你的行李领取标签
3,4,carousel,行李输送带,The passengers picked up their luggage from the carousel,这些旅客从行李转盘领取自己的行李
3,4,a baggage cart ,行李手推车,Can we get a baggage cart?,我们可以去找一辆行李手推车吗
3,4,take responsibility fot sth,为某事负责,You need to take responsibility for losing my luggage ,你需要为弄丢我的行李负责
3,4,nationality,国籍,What is your nationality,你是什么国籍
3,4,expire,过期,i am afraid your visa has expire,恐怕你的签证过期了
3,4,valid ,有效的,be valid for,有效期为
3,4,visa ,签证,apply for visa ,申请签证
3,4,custom,海关,go through customs,通过海关
3,4,declare,申报,i have nothing to declare,我没有东西要申报
3,4,a customs declaration form,海关申报单,Fill out the customs declaration form to declare,填写海关申报单申报物品
3,4,personal belongings,个人物品,This diary is one of my most treasured possessions,这本日记是我最珍贵的财产之一
3,4,look through,快速查看,The customs officer looked through my baggage,那位海关人员快速查看了我的行李
3,4,limit ,限量,My ehthusiasm for learning English knows no limits ,我学英语的热诚没有极限
3,4,contraband ,违禁品,The customs official confiscated the contraband from one of the passengers,海关官员没收了其中一位乘客的违禁品
3,4,jet lag,时差反应,The thing that bothers me most when I travel abroad is that I get really bad jet lag,出国旅行时让我最感到烦恼的事情就是我常会深受时差反应之苦
3,4,time zone ,时区,How many time zones will we cross when we go from NewYork to London?,我们从纽约飞到伦敦需要跨越几个时区
3,4,length of stay,停留时间,My length of stay is two weeks,我的停留时间是两周
3,4,browse ,在商店随意的看,browse through sth ,随意浏览某物
